Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
2657,To Kill a Mockingbird,Harper Lee,"Lee, Harper",,"=""""","=""""",0,4.27,Harper Perennial Modern Classics ,Paperback,323,2006,1960,,2022/06/20,to-read,to-read (#27),to-read,,,,0,0
243705,The Collector,John Fowles,"Fowles, John",,"=""""","=""""",0,3.98,Vintage,Paperback,283,1998,1963,,2022/06/20,to-read,to-read (#26),to-read,,,,0,0
36199084,"The Kiss Quotient (The Kiss Quotient, #1)",Helen Hoang,"Hoang, Helen",,"=""""","=""""",3,3.92,Berkley,Kindle Edition,323,2018,2018,2022/06/19,2022/06/08,,,read,,,,1,0
43884209,"Get a Life, Chloe Brown (The Brown Sisters, #1)",Talia Hibbert,"Hibbert, Talia",,"=""0062941208""","=""9780062941206""",3,3.83,Avon,Paperback,384,2019,2019,2022/06/13,2022/06/08,,,read,,,,1,0
1018253,"Stealer of Souls (Chrestomanci, #4.5)",Diana Wynne Jones,"Jones, Diana Wynne",,"=""0007142994""","=""9780007142996""",0,3.80,HarperCollins,Paperback,69,2000,2000,,2022/06/02,to-read,to-read (#23),to-read,,,,0,0
27362503,"It Ends with Us (It Ends with Us, #1)",Colleen Hoover,"Hoover, Colleen",,"=""""","=""""",0,4.27,Atria Books,Kindle Edition,386,2016,2016,,2022/05/24,to-read,to-read (#22),to-read,,,,0,0
2173611,"House of Many Ways (Howl's Moving Castle, #3)",Diana Wynne Jones,"Jones, Diana Wynne",,"=""0061477958""","=""9780061477959""",0,4.06,Greenwillow Books,Hardcover,404,2008,2008,,2022/05/24,to-read,to-read (#21),to-read,,,,0,0
47520,"Castle in the Air (Howl's Moving Castle, #2)",Diana Wynne Jones,"Jones, Diana Wynne",,"=""0064473457""","=""9780064473453""",0,3.88,Greenwillow Books,Mass Market Paperback,298,2001,1990,,2022/05/24,to-read,to-read (#20),to-read,,,,0,0
6294,"Howl’s Moving Castle (Howl’s Moving Castle, #1)",Diana Wynne Jones,"Jones, Diana Wynne",,"=""006441034X""","=""9780064410342""",3,4.29,Harper Trophy,Mass Market Paperback,329,2001,1986,2022/05/24,2022/05/22,,,read,The first half of the book was kind of slow and hard to follow. I was definitely struggling because the movie kept playing in my head while reading it. The second half definitely got better and read smoother than the first half. The ending seemed a bit rushed and I wish the romance was bit clearer. But overall I liked learning more about the characters!,,,1,0
519933,"The Lives of Christopher Chant (Chrestomanci, #2)",Diana Wynne Jones,"Jones, Diana Wynne",,"=""0688163653""","=""9780688163655""",4,4.24,Greenwillow Books,Paperback,240,1998,1988,2022/05/20,2022/05/20,,,read,"Christopher was a bit airheaded but I enjoyed the magic nonetheless. It was also nice to get to know the backstory of some of the characters in the first book. Also, Throgmorten is such a wonderful and powerful name for a cat. (audiobook)",,,1,0
